weapon,range,type,strength,armour_penetration,damage,abilities,class
astartes_shotgun,"12""",assault_2,4,0,1,"If the target is within half range, add 1 to this weapon’s strength.",ranged
auto_bolt_rifle,"24""",assault_2,4,0,1,,ranged
auto_pistol,"12""",pistol_1,3,0,1,,ranged
barbed_strangler,"36""",assault_d6,5,-1,1,,ranged
blast_pistol,"6""",pistol_1,8,-4,d6,,ranged
blaster,"18""",assault_1,8,-4,d6,,ranged
bolt_carbine,"24""",assault_2,4,0,1,,ranged
bolt_pistol,"12""",pistol_1,4,0,1,,ranged
bolt_rifle,"30""",rapid_fire_1,4,-1,1,,ranged
boltgun,"24""",rapid_fire_1,4,0,1,,ranged
burst_cannon,"18""",assault_4,5,0,1,,ranged
combi_flamer_boltgun,"24""",rapid_fire_1,4,0,1,,ranged
combi_flamer_flamer,"8""",assault_d6,4,0,1,This weapon automatically hits its target.,ranged
combi_grav_boltgun,"24""",rapid_fire_1,4,0,1,,ranged
combi_grav_gravgun,"8""",assault_d6,4,0,1,This weapon automatically hits its target.,ranged
combi_melta_boltgun,"24""",rapid_fire_1,4,0,1,,ranged
combi_melta_meltagun,"12""",assault_1,8,-4,d6,"if the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.",ranged
combi_plasma_boltgun,"24""",rapid_fire_1,4,0,1,,ranged
combi_plasma_plasma_gun,"24""",rapid_fire_1,7,-3,1,see plasma_gun,ranged
dark_lance,"36""",heavy_1,8,-4,d6,,ranged
deathspitter,"24""",assault_3,5,-1,1,,ranged
devourer,"18""",assault_3,4,0,1,,ranged
flamer,"8""",assault_d6,4,0,1,This weapon automatically hits its target.,ranged
flesh_hook,"6""",assault_2,user,0,1,"this weapon can be fired within 1"" of an enemy model, and can target enemy models within 1"" of friendly models.",ranged
fleshborer,"12""",assault_1,4,0,1,,ranged
frag_grenade,"6""",grenade_d6,3,0,1,,ranged
fusion_blaster,"18""",assault_1,8,-4,d6,"if the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.",ranged
gauss_blaster,"24""",rapid_fire_1,5,-2,1,,ranged
gauss_flayer,"24""",rapid_fire_1,4,-1,1,,ranged
grav_gun,"18""",rapid_fire_1,5,-3,1,"If the target has a Save characteristic of 3+ or better, this weapon has a Damage of D3.",ranged
